timestamp,open,high,low,close,volume,turnover
2025-06-11 13:38:00,109779.8,109833.0,109779.7,109833.0,8.159203,895939.23350032
2025-06-11 13:37:00,109664.6,109779.8,109664.6,109779.8,10.522855,1154491.9536403
2025-06-11 13:36:00,109480.1,109677.8,109452.1,109664.6,19.598959,2146736.33123388
2025-06-11 13:35:00,109389.6,109480.1,109364.3,109480.1,29.00818,3173747.4075584
2025-06-11 13:34:00,109337.1,109428.3,109312.2,109389.6,15.304116,1673763.0815813
2025-06-11 13:33:00,109422.2,109429.6,109312.5,109337.1,24.258187,2652790.857474
2025-06-11 13:32:00,109646.0,109646.0,109313.7,109422.2,61.884129,6773334.7685387
2025-06-11 13:31:00,109761.1,109761.1,109646.0,109646.0,12.165351,1334728.4533428
2025-06-11 13:30:00,109800.0,109806.4,109735.8,109761.1,10.90935,1197471.757359
2025-06-11 13:29:00,109845.0,109845.0,109800.0,109800.0,2.200601,241664.5136244
2025-06-11 13:28:00,109840.6,109845.0,109808.7,109845.0,4.821702,529574.4170119
2025-06-11 13:27:00,109848.1,109879.9,109832.1,109840.6,12.264283,1347319.3946662
2025-06-11 13:26:00,109833.0,109848.1,109828.5,109848.1,2.396694,263243.9197814
2025-06-11 13:25:00,109785.9,109833.0,109780.0,109833.0,2.674549,293657.6984589
2025-06-11 13:24:00,109764.7,109800.0,109764.7,109785.9,3.450368,378785.3981168
2025-06-11 13:23:00,109749.7,109768.1,109749.7,109764.7,1.099925,120729.097741
2025-06-11 13:22:00,109760.0,109760.0,109734.9,109749.7,3.501945,384316.7073475
2025-06-11 13:21:00,109771.0,109775.0,109756.3,109760.0,5.942199,652230.421317
2025-06-11 13:20:00,109750.0,109771.0,109749.8,109771.0,1.944474,213414.5447717
2025-06-11 13:19:00,109733.1,109750.0,109733.0,109750.0,2.352535,258165.7950398
2025-06-11 13:18:00,109742.7,109742.8,109727.3,109733.1,4.545001,498751.7754432
2025-06-11 13:17:00,109649.2,109742.7,109645.6,109742.7,4.562226,500518.9577551
2025-06-11 13:16:00,109609.3,109650.7,109594.8,109649.2,2.357393,258421.0100278
2025-06-11 13:15:00,109614.4,109665.9,109609.3,109609.3,5.82789,639020.2961497
2025-06-11 13:14:00,109618.6,109618.6,109600.0,109614.4,1.118691,122617.3363323
2025-06-11 13:13:00,109633.5,109651.0,109618.5,109618.6,4.027518,441576.2353107
2025-06-11 13:12:00,109635.0,109653.0,109629.0,109633.5,1.063293,116580.5373301
2025-06-11 13:11:00,109622.7,109652.5,109622.7,109635.0,4.137661,453654.4314255
2025-06-11 13:10:00,109692.4,109692.4,109613.1,109622.7,6.174368,677132.1206493
2025-06-11 13:09:00,109656.8,109727.6,109656.7,109692.4,3.809783,417953.0601583
2025-06-11 13:08:00,109654.5,109671.0,109602.9,109656.8,5.833275,639512.3627618
2025-06-11 13:07:00,109656.4,109672.3,109614.7,109654.5,5.588727,612787.8466651
2025-06-11 13:06:00,109678.5,109678.5,109602.8,109656.4,6.53411,716413.9605526
2025-06-11 13:05:00,109650.8,109718.1,109628.0,109678.5,7.625635,836326.8542023
2025-06-11 13:04:00,109565.2,109650.8,109564.7,109650.8,5.994866,656961.9256598
2025-06-11 13:03:00,109555.9,109628.2,109547.6,109565.2,14.696782,1610342.1848699
2025-06-11 13:02:00,109584.9,109596.4,109543.4,109555.9,7.558408,828108.8884774
2025-06-11 13:01:00,109694.1,109694.2,109584.9,109584.9,3.882742,425696.8495317
2025-06-11 13:00:00,109711.1,109742.8,109691.9,109694.1,10.36148,1136880.1379459
2025-06-11 12:59:00,109693.6,109716.6,109688.1,109711.1,3.060235,335700.7287323
2025-06-11 12:58:00,109658.1,109693.6,109632.7,109693.6,3.738204,409932.2637722
2025-06-11 12:57:00,109618.7,109658.2,109600.6,109658.1,4.753941,521132.1996338
2025-06-11 12:56:00,109629.5,109673.2,109593.5,109618.7,5.445832,597094.320225
2025-06-11 12:55:00,109579.5,109629.5,109564.3,109629.5,4.567543,500529.0121129
2025-06-11 12:54:00,109581.8,109599.2,109563.0,109579.5,4.099107,449191.8554755
2025-06-11 12:53:00,109617.1,109618.7,109575.1,109581.8,4.314009,472818.3577077
2025-06-11 12:52:00,109573.9,109697.1,109573.9,109617.1,6.196643,679341.5964374
2025-06-11 12:51:00,109625.2,109636.6,109573.8,109573.9,10.798245,1183683.6265245
2025-06-11 12:50:00,109578.0,109649.7,109556.9,109625.2,8.392799,919845.0964437
2025-06-11 12:49:00,109692.9,109692.9,109574.1,109578.0,12.177569,1335007.0459685
2025-06-11 12:48:00,109808.2,109808.3,109692.8,109692.9,9.653272,1059383.4392666
2025-06-11 12:47:00,109724.7,109808.2,109715.1,109808.2,11.454156,1256952.1797838
2025-06-11 12:46:00,109731.9,109731.9,109658.0,109724.7,9.849686,1080481.895813
2025-06-11 12:45:00,109815.0,109820.0,109720.9,109731.9,15.439687,1694450.9260132
2025-06-11 12:44:00,109821.7,109838.5,109797.3,109815.0,5.77895,634638.4127054
2025-06-11 12:43:00,109766.4,109821.7,109766.4,109821.7,9.799907,1075883.5929994
2025-06-11 12:42:00,109723.6,109781.1,109708.0,109766.4,9.509668,1043580.843492
2025-06-11 12:41:00,109615.7,109740.0,109615.7,109723.6,24.296943,2664849.0201322
2025-06-11 12:40:00,109524.4,109682.2,109509.3,109615.7,42.685521,4678022.5555497
2025-06-11 12:39:00,109549.2,109555.4,109500.1,109524.4,12.437214,1362197.4547286
2025-06-11 12:38:00,109562.8,109610.5,109534.6,109549.2,14.754024,1616599.2718607
2025-06-11 12:37:00,109701.7,109735.8,109490.3,109562.8,37.594985,4119796.24623428
2025-06-11 12:36:00,109700.0,109742.1,109677.0,109701.7,24.317949,2667745.9499977
