timestamp,pid,memory_mb,service_type
2025-06-02 01:59:29.812560,8948,3.9609375,System Monitor Dashboard
2025-06-02 01:59:29.812560,9712,275.484375,AI Analytics Dashboard
2025-06-02 01:59:29.812560,9808,242.25390625,Technical Analysis Dashboard
2025-06-02 01:59:29.812560,10704,59.2734375,Enhanced Dashboard
2025-06-02 01:59:29.812560,12088,266.26953125,System Monitor Dashboard
2025-06-02 01:59:29.812560,13772,3.95703125,Unknown
2025-06-02 01:59:29.812560,19092,3.90234375,Strategy Dashboard
2025-06-02 01:59:29.812560,20568,3.91796875,Advanced Trading Analytics
2025-06-02 01:59:29.812560,21672,3.984375,Enhanced Dashboard
2025-06-02 01:59:29.812560,21756,257.671875,Strategy Dashboard
2025-06-02 01:59:29.812560,24860,207.55078125,News Dashboard
2025-06-02 01:59:29.812560,25420,4.02734375,AI Analytics Dashboard
2025-06-02 01:59:29.812560,26500,3.87109375,Portfolio Dashboard
2025-06-02 01:59:29.812560,27080,3.8671875,Risk Dashboard
2025-06-02 01:59:29.812560,28240,261.69140625,Advanced Trading Analytics
2025-06-02 01:59:29.812560,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 01:59:29.812560,29132,3.91796875,News Dashboard
2025-06-02 01:59:29.812560,29412,73.484375,Unknown
2025-06-02 01:59:29.812560,29604,235.9296875,Risk Dashboard
2025-06-02 02:00:01.117921,3684,262.78125,Portfolio Dashboard
2025-06-02 02:00:01.117921,6312,34.53125,Unknown
2025-06-02 02:00:01.117921,7860,3.984375,Unknown
2025-06-02 02:00:01.117921,8948,3.9609375,System Monitor Dashboard
2025-06-02 02:00:01.117921,9712,275.546875,AI Analytics Dashboard
2025-06-02 02:00:01.117921,9808,242.25,Technical Analysis Dashboard
2025-06-02 02:00:01.117921,10704,59.2734375,Enhanced Dashboard
2025-06-02 02:00:01.117921,12088,266.2734375,System Monitor Dashboard
2025-06-02 02:00:01.117921,13772,3.95703125,Unknown
2025-06-02 02:00:01.117921,19092,3.90234375,Strategy Dashboard
2025-06-02 02:00:01.117921,20568,3.91796875,Advanced Trading Analytics
2025-06-02 02:00:01.117921,21672,3.984375,Enhanced Dashboard
2025-06-02 02:00:01.117921,21756,257.65625,Strategy Dashboard
2025-06-02 02:00:01.117921,24860,207.55078125,News Dashboard
2025-06-02 02:00:01.117921,25420,4.02734375,AI Analytics Dashboard
2025-06-02 02:00:01.117921,26500,3.87109375,Portfolio Dashboard
2025-06-02 02:00:01.117921,27080,3.8671875,Risk Dashboard
2025-06-02 02:00:01.117921,28240,261.69140625,Advanced Trading Analytics
2025-06-02 02:00:01.117921,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 02:00:01.117921,29132,3.91796875,News Dashboard
2025-06-02 02:00:01.117921,29412,73.55859375,Unknown
2025-06-02 02:00:01.117921,29604,235.9375,Risk Dashboard
2025-06-02 02:00:32.446064,3684,262.796875,Portfolio Dashboard
2025-06-02 02:00:32.446064,6312,34.53125,Unknown
2025-06-02 02:00:32.446064,7860,3.984375,Unknown
2025-06-02 02:00:32.446064,8948,3.9609375,System Monitor Dashboard
